epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,61.3098,0.52435,1.80431,0.67528,0.93199,0.36734,0.57569,0.4286,0.2514,1.23459,0.3684,0.000235295,0.000235295,0.000235295
2,117.293,0.32175,1.06697,0.38017,0.7043,0.66909,0.71521,0.51665,0.29295,0.90216,0.44512,0.000457677,0.000457677,0.000457677
3,178.313,0.30866,0.95352,0.36039,0.79929,0.61943,0.74396,0.55008,0.2703,0.87444,0.441,0.00066435,0.00066435,0.00066435
4,235.853,0.29281,0.92631,0.34043,0.70609,0.71952,0.76487,0.56576,0.28868,0.71302,0.48409,0.000643314,0.000643314,0.000643314
5,297.805,0.29642,0.93504,0.34337,0.65251,0.62517,0.66632,0.45306,0.35311,0.94535,0.61686,0.000619752,0.000619752,0.000619752
6,354.32,0.28863,0.85759,0.33965,0.81713,0.74168,0.82973,0.61998,0.26934,0.7035,0.43798,0.00059619,0.00059619,0.00059619
7,413.919,0.29508,0.82778,0.34139,0.83069,0.72091,0.81672,0.60875,0.28318,0.70146,0.46823,0.000572628,0.000572628,0.000572628
8,473.46,0.2786,0.82734,0.32378,0.86057,0.72977,0.8169,0.62395,0.27782,0.68048,0.45107,0.000549066,0.000549066,0.000549066
9,534.33,0.27977,0.78416,0.32268,0.84179,0.77101,0.83381,0.62271,0.29375,0.6568,0.50826,0.000525504,0.000525504,0.000525504
10,594.994,0.25549,0.7503,0.29099,0.84262,0.76248,0.85053,0.63588,0.2807,0.64246,0.46227,0.000501942,0.000501942,0.000501942
11,668.147,0.25194,0.72713,0.2992,0.82303,0.80056,0.85179,0.65756,0.25228,0.64172,0.39552,0.00047838,0.00047838,0.00047838
12,746.242,0.24997,0.66823,0.2901,0.8935,0.81329,0.877,0.68914,0.25854,0.55952,0.4217,0.000454818,0.000454818,0.000454818
13,820.33,0.25769,0.67749,0.29787,0.86221,0.79117,0.88602,0.69965,0.245,0.55983,0.39929,0.000431256,0.000431256,0.000431256
14,888.729,0.23944,0.69102,0.28041,0.87379,0.78718,0.85285,0.67295,0.25391,0.65594,0.39967,0.000407694,0.000407694,0.000407694
15,952.357,0.22747,0.65483,0.2696,0.92248,0.79131,0.88593,0.72551,0.24464,0.52885,0.38492,0.000384132,0.000384132,0.000384132
16,1025.36,0.23915,0.5758,0.28499,0.89587,0.81937,0.88983,0.72043,0.25911,0.50131,0.41466,0.00036057,0.00036057,0.00036057
17,1113.84,0.22839,0.55972,0.26395,0.92332,0.80071,0.90118,0.71206,0.26165,0.52056,0.44992,0.000337008,0.000337008,0.000337008
18,1180.81,0.21911,0.5854,0.25486,0.92106,0.83397,0.89889,0.70484,0.25551,0.51842,0.43181,0.000313446,0.000313446,0.000313446
19,1247.51,0.22027,0.58257,0.25777,0.9172,0.82211,0.89118,0.70683,0.25455,0.52536,0.40353,0.000289884,0.000289884,0.000289884
20,1310.06,0.22878,0.55518,0.2597,0.93873,0.83303,0.9113,0.73122,0.24929,0.46167,0.39434,0.000266322,0.000266322,0.000266322
21,1411.32,0.14482,0.31743,0.21249,0.89838,0.84873,0.91242,0.73673,0.2458,0.47051,0.40606,0.00024276,0.00024276,0.00024276
22,1478.18,0.13892,0.29768,0.19692,0.91263,0.8584,0.91876,0.73897,0.24987,0.46895,0.42705,0.000219198,0.000219198,0.000219198
23,1573.08,0.1271,0.28968,0.18401,0.91112,0.83383,0.89598,0.71403,0.27503,0.48326,0.46351,0.000195636,0.000195636,0.000195636
24,1640.3,0.12502,0.25859,0.18061,0.91949,0.84595,0.90631,0.73395,0.25171,0.50156,0.42688,0.000172074,0.000172074,0.000172074
25,1705.69,0.11962,0.24752,0.17107,0.94049,0.83202,0.91141,0.73422,0.24804,0.49827,0.40692,0.000148512,0.000148512,0.000148512
26,1773.63,0.11877,0.23848,0.16827,0.92236,0.85754,0.91133,0.74351,0.24521,0.48456,0.3945,0.00012495,0.00012495,0.00012495
27,1865.74,0.1211,0.22232,0.17375,0.9151,0.86089,0.91589,0.74848,0.24311,0.46436,0.39123,0.000101388,0.000101388,0.000101388
28,1962.35,0.11173,0.22489,0.1585,0.93083,0.85691,0.91768,0.74676,0.24665,0.46119,0.39402,7.7826e-05,7.7826e-05,7.7826e-05
29,2029.61,0.10541,0.22072,0.14822,0.91456,0.86813,0.91865,0.7561,0.23953,0.44584,0.38263,5.4264e-05,5.4264e-05,5.4264e-05
30,2138.39,0.10312,0.22163,0.14896,0.91716,0.87455,0.91932,0.75422,0.24236,0.44125,0.38561,3.0702e-05,3.0702e-05,3.0702e-05
